Station,Total,Lat,Lng
69 ST-FISK AVE,30665,40.746325,-73.896403
5 AVE-53 ST,153472,40.760179,-73.975196
42 ST-GRD CNTRL,936689,40.751849,-73.976945
VAN ALSTON-21ST,9884,40.743973,-73.949876
HEWES ST,16505,40.706994,-73.953481
103 ST-CORONA,122220,40.749858,-73.862672
PENNSYLVANIA AV,45527,40.664884,-73.894258
KINGS HIGHWAY,172837,40.608691,-73.957772
FULTON ST,469655,40.68713,-73.975346
NEPTUNE AVE,9882,40.580992,-73.974531
233 ST,34795,40.893386,-73.857265
155 ST,42455,40.829934,-73.938632
157 ST,70545,40.833879,-73.944726
25 ST,23201,40.66043,-73.997944
ATLANTIC AVE,10672,40.675496,-73.902819
GREENWOOD-111,14191,40.684364,-73.832181
ASTOR PLACE,101207,40.730056,-73.991042
NEWARK HW BMEBE,27973,,
116 ST,213188,40.798574,-73.941593
9TH STREET,30134,,
WASHINGTON-36 A,45326,40.756977,-73.929373
53 ST,44509,40.644959,-74.014034
ALLERTON AVE,36458,40.865481,-73.867393
ST. GEORGE,81411,40.643738,-74.073622
BOWLING GREEN,199604,40.704782,-74.014099
110 ST-CATHEDRL,83346,40.804032,-73.966742
MOSHOLU PARKWAY,51034,40.87963,-73.884666
74 ST-BROADWAY,20742,40.746655,-73.891361
KINGSTON AVE,31581,40.669409,-73.942173
28 ST-BROADWAY,80432,40.745574,-73.988682
BUHRE AVE,18798,40.846817,-73.832545
HOYT ST,44102,40.690545,-73.985065
170 ST,101465,40.839301,-73.913355
51 ST,135897,40.757108,-73.97187
CATHEDRL-110 ST,46309,40.800637,-73.958201
JUNIUS ST,20342,40.663419,-73.902454
ROOSEVELT IS,38622,40.759123,-73.953266
GRAND-30 AVE,90645,40.766843,-73.921423
MYRTLE AVE,194409,40.699707,-73.91181
HUNTS POINT AVE,64503,40.820889,-73.890567
BEACH 60 ST,15915,40.592334,-73.788493
SARATOGA AVE,55525,40.661466,-73.916316
CRESCENT ST,31318,40.683209,-73.873765
207 ST,41262,40.864653,-73.918719
BEACH 67 ST,16421,40.590867,-73.797011
55 ST,11489,40.631412,-73.995473
75 AVE,22456,40.718477,-73.837223
GRAND ARMY PLAZ,45985,40.675219,-73.971012
34 ST-PENN STA,1097317,40.750329,-73.991096
COURT SQ-23 ST,49904,40.747257,-73.945112
DEKALB AVE,177661,40.703839,-73.91844
148 ST-LENOX,24608,40.823877,-73.936443
LIBERTY AVE,16546,40.674552,-73.896554
BERGEN ST,95264,40.680801,-73.975132
PELHAM BAY PARK,46960,40.852465,-73.828125
BROADWAY-31 ST,80987,40.761959,-73.925382
231 ST,59875,40.878867,-73.904858
ROOSEVELT AVE,309736,40.746655,-73.891361
YORK ST,55874,40.699756,-73.98689
FREEMAN ST,28818,40.829966,-73.891876
FRESH POND ROAD,35676,40.706181,-73.89591
PATH WTC 2,4138,40.711638,-74.010708
JAMAICA CENTER,248632,40.702131,-73.80111
47-50 ST-ROCK,354372,40.758652,-73.981311
57 ST,88270,40.763625,-73.977449
145 ST,235061,40.820402,-73.936315
CARROLL ST,71946,40.680231,-73.99498
SHEEPSHEAD BAY,84813,40.58681,-73.954167
