Station,4WkTotal,PerWkAverage,Sat_Av,Sun_Av,Mon_Av,Tues_Av,Weds_Av,Thurs_Av,Fri_Av,Lat,Lng
"('FLUSHING AVE', 'JM')",232406,58101.5,4985,4720,9356,9424,9697,9589,9743,40.700244,-73.941658
"('BOTANIC GARDEN', 'S2345')",41744,10436.0,1038,895,1600,1632,1807,1590,1789,40.670499,-73.958759
"('PRESIDENT ST', '25')",94753,23688.25,1794,1654,3992,3990,4148,3887,4008,40.667879,-73.950648
"('ROCKAWAY PKY', 'L')",329625,82406.25,6713,5833,13624,13594,14220,13889,13899,40.64666,-73.901832
"('HOYT ST-ASTORIA', 'NQ')",318152,79538.0,7785,7253,12186,12603,13045,12943,12879,40.770426,-73.917614
"('VAN WYCK BLVD', 'EF')",120885,30221.25,2471,2183,4948,5132,5240,5013,5050,40.709174,-73.820593
"('BURNSIDE AVE', '4')",271922,67980.5,6651,5841,10647,10911,11318,11017,10866,40.85339,-73.907733
"('33 ST/RAWSON ST', '7')",282547,70636.75,2992,1768,12961,13883,13643,12782,11913,40.744558,-73.930993
"('DITMARS BL-31 S', 'NQ')",433265,108316.25,10063,9174,16824,17596,18058,17868,17638,40.774984,-73.912067
"('ESSEX ST', 'FJMZ')",245865,61466.25,5448,5268,9472,10027,10085,9967,8690,40.71838,-73.987813
"('MAIN ST', '7')",1524611,381152.75,35724,34507,60570,60813,62246,61230,61164,40.759578,-73.830056
"('NEW UTRECHT AVE', 'ND')",145919,36479.75,4564,3901,5579,5530,5614,5564,5569,40.625419,-73.996632
"('BEDFORD/NOSTRAN', 'G')",213313,53328.25,5068,5042,8201,8502,8613,8628,8695,40.689636,-73.953459
"('MYRTLE AVE', 'LM')",513235,128308.75,14376,13364,19026,19513,20125,19938,20454,40.699707,-73.91181
"('CANAL ST', 'JNQRZ6')",1224949,306237.25,32872,32560,45052,46122,47760,48175,49299,40.718233,-74.000323
"('ROCKAWAY BLVD', 'A')",39446,9861.5,758,790,1697,1647,1584,1649,1621,40.680429,-73.843853
"('CRESCENT ST', 'JZ')",129281,32320.25,3329,2836,5095,5108,5239,5157,5337,40.683209,-73.873765
"('145 ST', '1')",248320,62080.0,5211,7131,9834,10007,10351,10250,10522,40.826426,-73.950412
"('191 ST', '1')",204863,51215.75,5097,5264,8495,8597,8654,6913,9994,40.855176,-73.929384
"('71 ST', 'D')",95616,23904.0,2230,2060,4725,4804,4897,4753,4784,40.619588,-73.998842
"('14 ST-UNION SQ', '456LNQR')",930500,232625.0,22575,24611,33653,35233,36758,36541,38171,40.734836,-73.990688
"('HOWARD BCH-JFK', 'A')",64050,16012.5,1498,1819,2648,2406,2456,2465,2480,40.660476,-73.830301
"('E 149 ST', '6')",117219,29304.75,2892,2492,4547,4637,4898,4702,4881,40.812104,-73.904085
"('NORWOOD AVE', 'JZ')",92214,23053.5,2264,2058,3638,3649,3774,3693,3807,40.681598,-73.880074
"('JOURNAL SQUARE', '1')",508190,127047.5,11661,9566,20130,20701,21930,21450,20882,40.732102,-74.063915
"('63 DR-REGO PARK', 'MR')",422548,105637.0,9329,9002,16806,17280,17604,17437,17121,40.729869,-73.86161
"('1 AVE', 'L')",636670,159167.5,15496,16722,22599,24294,25136,25069,25979,40.730901,-73.981719
"('BEDFORD AVE', 'L')",757524,189381.0,24924,25858,25843,25971,26874,27546,28384,40.717241,-73.956614
"('QUEENS PLAZA', 'EMR')",260749,65187.25,5156,4441,10924,11246,11552,10985,10496,40.748948,-73.937194
"('LAFAYETTE AVE', 'C')",130334,32583.5,3653,3583,4743,4772,5042,5088,5148,40.68617,-73.973908
"('33 ST', '6')",795269,198817.25,12692,12649,32156,34744,35170,35403,33122,40.746119,-73.981826
"('KNICKERBOCKER', 'M')",98214,24553.5,1675,1493,4027,4133,4275,4254,4516,40.698666,-73.919685
"('UTICA AVE', 'AC')",410551,102637.75,10535,9665,15752,15952,16709,16292,16687,40.679279,-73.930585
"('82 ST-JACKSON H', '7')",406101,101525.25,10172,9037,15986,16394,16250,16040,16471,40.747647,-73.883786
"('49 ST-7 AVE', 'NQR')",617539,154384.75,10257,12857,22187,24866,26734,26618,26895,40.760139,-73.984112
"('MORGAN AVE', 'L')",203803,50950.75,6087,6933,7041,7235,7453,7467,6845,40.706148,-73.93316
"('ELDER AVE', '6')",164758,41189.5,4285,3371,6551,6567,6783,6522,6867,40.828894,-73.879559
