Station,4WkTotal,PerWkAverage,Sat_Av,Sun_Av,Mon_Av,Tues_Av,Weds_Av,Thurs_Av,Fri_Av,Lat,Lng
"('219 ST', '25')",90669,22667.25,2181,1927,3549,3577,3785,3649,3796,40.883767,-73.862736
"('121 ST', 'JZ')",62942,15735.5,1548,1427,2458,2469,2557,2542,2558,40.700536,-73.828382
"('67 AVE', 'MR')",230579,57644.75,4427,4025,9658,9770,10054,9713,9669,40.726462,-73.85263
"('FRANKLIN ST', '1')",141183,35295.75,1913,2007,5715,6374,6319,6466,6037,40.719323,-74.006953
"('JAY ST-METROTEC', 'ACF')",896196,224049.0,14004,13886,36596,38969,40010,39519,38091,40.692338,-73.987342
"('AVE M', 'BQ')",137828,34457.0,1803,2189,6316,6111,6176,5679,5964,40.617568,-73.95936
"('125 ST', 'ACBD')",777410,194352.5,20003,20488,28626,29597,30556,30719,31088,40.811056,-73.952386
"('HIGH ST', 'AC')",234562,58640.5,5570,7099,8573,8642,9068,9480,9074,40.699316,-73.990474
"('145 ST', '3')",93889,23472.25,2116,1890,3689,3740,3944,3904,3934,40.820402,-73.936315
"('ALLERTON AVE', '25')",149987,37496.75,3812,3287,5877,5847,6184,6014,6160,40.865481,-73.867393
"('BRIGHTON BEACH', 'BQ')",322500,80625.0,7382,7545,12917,12915,13846,13026,12320,40.577961,-73.961806
"('168 ST-BROADWAY', 'AC1')",355280,88820.0,8889,8082,13215,13547,14043,13701,16204,40.840778,-73.940091
"('THIRTY ST', '1')",237811,59452.75,2872,3899,9323,10240,11194,10216,10245,,
"('23 ST', '6')",625631,156407.75,8832,8398,25885,28514,28808,28910,25471,40.740088,-73.986429
"('125 ST', '23')",361667,90416.75,8928,9048,13729,13914,14347,14388,14672,40.808076,-73.945906
"('NEVINS ST', '2345')",263152,65788.0,5069,4574,10319,10826,11415,11259,11274,40.688269,-73.980453
"('CASTLE HILL AVE', '6')",166813,41703.25,3018,2609,6840,7077,7304,7165,7312,40.834255,-73.851222
"('GROVE STREET', '1')",437561,109390.25,9285,7120,17647,18457,18971,18777,18452,40.719876,-74.042616
"('CLARK ST', '23')",161744,40436.0,3803,4685,5921,6158,6417,6519,6250,40.697356,-73.992888
"('E 180 ST', '25')",203281,50820.25,5938,4932,7758,7656,8368,7892,7923,40.841882,-73.873551
"('FT HAMILTON PKY', 'FG')",146447,36611.75,3440,2899,5829,6008,6186,6071,5981,40.650722,-73.975818
"('69 ST-FISK AVE', '7')",128505,32126.25,3319,3001,5138,5100,5174,4955,5167,40.746325,-73.896403
"('50 ST', '1')",667873,166968.25,10330,13340,24824,27257,29431,29354,28787,40.761675,-73.983908
"('RECTOR ST', 'R')",155134,38783.5,3155,2777,6095,6452,6637,6630,6597,40.707222,-74.013391
"('MARBLE HILL-225', '1')",143494,35873.5,2616,2653,5780,5927,6182,6083,6165,40.874551,-73.909879
"('103 ST', '6')",205424,51356.0,4839,4144,8064,8488,8590,8171,8480,40.790582,-73.947473
"('50 ST', 'CE')",556603,139150.75,12491,14372,19566,21193,22422,21956,23672,40.762439,-73.985989
"('28 ST-BROADWAY', 'NR')",328359,82089.75,6193,5949,12380,14126,14248,14190,13685,40.745574,-73.988682
"(""PRINCE ST-B'WAY"", 'NR')",428233,107058.25,11825,12798,14158,15803,16269,16893,17140,40.724332,-73.997684
"('GREENPOINT AVE', 'G')",227389,56847.25,5051,4807,8857,9326,9412,9280,9362,40.731324,-73.954425
"('EASTERN PKWY', '23')",127653,31913.25,3224,3504,4320,4895,5172,5268,5239,40.672013,-73.96436
"('42 ST-TIMES SQ', 'ACENQRS1237')",295204,73801.0,3183,3103,12374,13903,13823,13809,12593,40.755905,-73.986504
"('ROOSEVELT IS', 'F')",156642,39160.5,3688,3194,5825,6349,6457,6560,6595,40.759123,-73.953266
"('167 ST', 'BD')",256810,64202.5,6538,5828,9886,10109,10406,10309,10507,40.833773,-73.91843
"('157 ST', '1')",272997,68249.25,5624,5420,10546,11272,11591,11438,11717,40.833879,-73.944726
"('CANAL ST', '1')",152396,38099.0,1860,1845,6350,7011,7139,7109,6396,40.722819,-74.006267
"('14 ST-UNION SQ', 'LNQR456')",1911562,477890.5,44645,44476,68654,74583,79126,77965,78595,40.734836,-73.990688
"('5 AVE-59 ST', 'NQR')",510298,127574.5,12408,11643,18940,20426,21564,21358,20265,40.764909,-73.973372
"('KINGS HIGHWAY', 'N')",135367,33841.75,3132,2705,5554,5401,5819,5478,5603,40.603967,-73.980668
"('NORWOOD-205 ST', 'D')",214376,53594.0,5164,4541,8496,8670,8975,8744,8673,40.874827,-73.878872
"('20 AVE', 'D')",127517,31879.25,2602,2536,5135,5259,5401,5345,5324,40.604798,-73.998456
"('BROAD CHANNEL', 'AS')",8878,2219.5,171,143,394,369,391,388,347,40.608693,-73.816068
"('RECTOR ST', '1')",261789,65447.25,3976,3596,10759,11860,12335,12631,9462,40.70784,-74.013691
"('DYCKMAN-200 ST', 'A')",185568,46392.0,5525,4946,6929,6934,7246,7122,7338,40.865286,-73.92698
"('SUTPHIN BLVD', 'F')",121227,30306.75,2568,2255,5001,5063,5268,5040,4957,40.705416,-73.810562
"('WASHINGTON-36 A', 'NQ')",190673,47668.25,4873,4627,7227,7442,7622,7523,7795,40.756977,-73.929373
"('FULTON ST', 'ACJZ2345')",780917,195229.25,11243,10001,32024,34374,35813,35785,34114,40.709938,-74.007983
"('MARCY AVE', 'JMZ')",334620,83655.0,5034,6934,13521,13848,14446,14468,14394,40.708377,-73.957751
"('ATLANTIC AVE', 'L')",45089,11272.25,836,762,1899,1889,1957,1871,1931,40.675496,-73.902819
"('WILSON AVE', 'L')",117495,29373.75,3071,2977,4463,4513,4677,4609,4710,40.688676,-73.903999
"('18 AVE', 'N')",146034,36508.5,3868,3466,5695,5668,5942,5552,6144,40.620728,-73.990388
"('METROPOLITAN AV', 'GL')",262959,65739.75,8217,9101,8919,9039,9483,9451,10011,40.713875,-73.951592
"('WOODHAVEN BLVD', 'MR')",576795,144198.75,14550,13119,22148,22890,23294,23081,23867,40.73308,-73.869259
"('STEINWAY ST', 'MR')",381056,95264.0,8902,8591,14332,14982,15624,15440,15699,40.756864,-73.920736
"('BROADWAY-31 ST', 'NQ')",338282,84570.5,8855,8264,12787,13078,13627,13454,13554,40.761959,-73.925382
"('FLUSHING AVE', 'G')",71763,17940.75,1355,1437,2971,2953,3058,3009,3043,40.700374,-73.950284
"('LIBERTY AVE', 'C')",69500,17375.0,1529,1397,2824,2788,2970,2860,2867,40.674552,-73.896554
"('137 ST-CITY COL', '1')",336371,84092.75,6334,5923,13861,14179,14708,14470,13934,40.821994,-73.953674
"('138 ST-GR CONC', '45')",86510,21627.5,1780,1427,3525,3650,3752,3603,3648,40.813208,-73.929877
"('NEWARK BM BW', '1')",338217,84554.25,5810,4160,14465,14820,15604,15045,13986,,
"('DITMAS AVE', 'F')",107671,26917.75,2191,2331,4454,4489,4552,4438,4347,40.63615,-73.978179
"('21 ST', 'F')",225405,56351.25,3857,3312,8973,9605,10041,10011,10019,40.7541,-73.94258
"('52 ST-LINCOLN', '7')",171431,42857.75,3867,3517,6860,7131,7005,7053,7116,40.744103,-73.912497
"('155 ST', 'BD')",104810,26202.5,2698,2398,4080,4091,4251,4161,4290,40.829934,-73.938632
"('174-175 ST', 'BD')",134094,33523.5,3220,2911,5277,5419,5487,5368,5544,40.845892,-73.910136
"('155 ST', 'C')",71142,17785.5,1966,1900,2688,2687,2827,2731,2839,40.830551,-73.941486
"('23 ST-6 AVE', 'FM')",631127,157781.75,7492,7522,24750,28655,29093,29470,27946,40.742981,-73.992727
"('WINTHROP ST', '25')",180179,45044.75,3176,2603,7703,7801,8029,7708,7773,40.656648,-73.950198
"('18 ST', '1')",214666,53666.5,3798,3617,8106,9296,9391,9507,9095,40.741096,-73.997877
"('HARRISON', '1')",187101,46775.25,3741,2441,7790,8022,8598,8345,7764,40.738879,-74.155533
"('ST LAWRENCE AVE', '6')",107557,26889.25,2560,2134,4336,4328,4417,4371,4504,40.8315,-73.867623
"('46 ST-BLISS ST', '7')",363993,90998.25,8996,7829,13930,14530,14943,14768,15095,40.743079,-73.918419
"('AVE I', 'F')",56596,14149.0,1071,1264,2395,2277,2427,2356,2270,40.625305,-73.975732
"('HEWES ST', 'JM')",76387,19096.75,2091,1751,2845,2984,3014,3025,3164,40.706994,-73.953481
"('PAVONIA/NEWPORT', '1')",459098,114774.5,9165,7492,18709,19467,20146,19581,19637,,
"('TOMPKINSVILLE', '1')",19069,4767.25,475,370,754,732,810,777,793,40.636948,-74.074824
"('WESTCHESTER SQ', '6')",158009,39502.25,2884,2294,6591,6744,7039,6738,6830,40.839892,-73.842952
"('GRAHAM AVE', 'L')",263827,65956.75,5918,5769,10278,10677,10914,10787,10738,40.71459,-73.944104
"('7 AVE-53 ST', 'BDE')",430881,107720.25,7307,7777,17083,18419,18493,18660,18406,40.762877,-73.98159
"('AQUEDUCT-N CNDT', 'A')",31756,7939.0,644,623,1285,1278,1340,1357,1318,40.668234,-73.834058
"('UNION TPK-KEW G', 'EF')",666065,166516.25,13030,10523,27897,28700,29349,28772,27748,40.714444,-73.830979
"('MYRTLE-WILLOUGH', 'G')",149674,37418.5,3912,3733,5760,5821,5990,5898,5989,40.694568,-73.949046
"('BAY RIDGE AVE', 'R')",206796,51699.0,4750,4266,8322,8450,8629,8397,8458,40.634945,-74.023411
"('ROCKAWAY AVE', 'C')",138670,34667.5,3369,2938,5504,5495,5709,5621,5737,40.67836,-73.911939
"('103 ST', 'BC')",125595,31398.75,2841,2731,4778,5051,5263,5131,5313,40.796105,-73.961399
"('BAYCHESTER AVE', '5')",90661,22665.25,855,866,4112,4096,4273,3930,4018,40.878656,-73.838596
"('AVE N', 'F')",86068,21517.0,1685,1783,3634,3638,3663,3553,3463,40.615174,-73.974166
"('96 ST', '123')",1074753,268688.25,29736,29693,39557,40864,42537,41870,41342,40.79388,-73.972363
"('20 AVE', 'N')",102521,25630.25,2211,1725,4422,4201,4436,4127,4412,40.617373,-73.985088
"('36 ST', 'MR')",110934,27733.5,1441,1138,4926,5078,5077,5018,4879,40.75202,-73.92874
"('JAMAICA CENTER', 'EJZ')",1020890,255222.5,18334,18611,41657,43242,44548,43236,43098,40.702131,-73.80111
"('CORTELYOU ROAD', 'BQ')",154856,38714.0,3428,3279,6114,6317,6490,6314,6386,40.640905,-73.963866
"('BEDFORD PARK BL', 'BD')",178666,44666.5,4091,3516,7076,7268,7659,7306,7504,40.873026,-73.886919
"('CATHEDRL-110 ST', 'BC')",195282,48820.5,4570,4316,7400,7667,8182,8039,8197,40.800637,-73.958201
"('CENTRAL AVE', 'M')",84540,21135.0,1225,1237,3545,3717,3760,3756,3712,40.697673,-73.927131
"('BAY RIDGE-95 ST', 'R')",151474,37868.5,3051,2694,6181,6484,6557,6480,6165,40.616624,-74.030964
"('PELHAM BAY PARK', '6')",191958,47989.5,4272,4503,7649,7530,7965,7669,7831,40.852465,-73.828125
"('RIT-MANHATTAN', 'R')",122366,30591.5,4687,5457,3724,3675,4151,4137,4135,40.761268,-73.964016
"('145 ST', 'ABCD')",614428,153607.0,16322,15741,22877,23523,24690,24469,24036,40.824787,-73.944232
"('75 AVE', 'EF')",92719,23179.75,1762,1650,3768,4016,4002,4014,3785,40.718477,-73.837223
"('170 ST', '4')",240922,60230.5,5977,5442,9443,9455,9876,9629,9763,40.840048,-73.917775
"('59 ST-COLUMBUS', '1ABCD')",358003,89500.75,7043,8158,12912,14650,14989,15327,14666,40.76811,-73.981891
"('231 ST', '1')",234200,58550.0,4129,3913,9379,9838,10401,10146,10123,40.878867,-73.904858
"('SIMPSON ST', '25')",252069,63017.25,6463,5416,10125,10231,10183,9769,10281,40.82417,-73.893228
"('BEACH 44 ST', 'A')",16534,4133.5,398,354,644,662,685,678,676,40.593214,-73.776433
"('NEREID AVE', '25')",94371,23592.75,2080,1710,3844,3911,4004,3933,3917,40.898382,-73.854389
"('JAY ST-METROTEC', 'R')",73504,18376.0,932,932,3106,3365,3375,3289,3175,40.692182,-73.985935
"('MIDDLETOWN ROAD', '6')",50863,12715.75,793,651,2209,2214,2334,2223,2223,40.843635,-73.836687
"('86 ST', '456')",1705770,426442.5,36179,36834,63266,69667,71600,71733,70109,40.779485,-73.955541
"('WHITLOCK AVE', '6')",44469,11117.25,979,871,1757,1791,1874,1823,1909,40.826508,-73.886425
"('110 ST-CPN', '23')",261439,65359.75,6594,6585,9812,10031,10639,10371,10450,40.79911,-73.951807
"('72 ST', 'BC')",256992,64248.0,5338,5878,9008,9875,10499,11653,11107,40.775545,-73.976398
"('34 ST-PENN STA', 'ACE')",2148678,537169.5,37359,43546,89803,90001,91312,91083,85327,40.752247,-73.993456
"('BOWLING GREEN', '45')",805111,201277.75,12042,11112,33022,35315,36707,36068,34660,40.704782,-74.014099
"('BEDFORD PARK BL', '4')",145361,36340.25,2998,2923,5794,5839,6354,5867,6233,40.873399,-73.890084
"('23 ST-5 AVE', 'NR')",639215,159803.75,12102,13087,23706,27197,26861,27910,26168,40.741006,-73.989315
"('AVE U', 'BQ')",179604,44901.0,4424,4173,7133,7177,7430,7144,7208,40.599307,-73.955916
"('GRANT AVE', 'A')",169706,42426.5,3944,3524,6716,6827,7082,6929,7017,40.677107,-73.865376
"('PARSONS BLVD', 'F')",165438,41359.5,3682,3297,6724,6762,6951,6711,6883,40.707564,-73.803326
"('NOSTRAND AVE', 'AC')",462715,115678.75,11566,11055,17329,17943,18633,18653,18909,40.68041,-73.950326
"('7 AVE', 'BQ')",242340,60585.0,5228,4782,9508,10026,10392,10298,9783,40.677172,-73.972514
"('22 AVE-BAY PKY', 'F')",40029,10007.25,1038,1000,1576,1547,1626,1559,1426,40.620907,-73.975453
"('FT HAMILTON PKY', 'D')",103084,25771.0,1727,1951,4332,4331,4781,4283,4235,40.640872,-73.994229
"('BEACH 105 ST', 'AS')",9236,2309.0,255,238,375,319,395,338,382,40.583542,-73.82643
"('104 ST', 'JZ')",58022,14505.5,1325,1114,2320,2382,2474,2399,2379,40.695184,-73.844326
"('SMITH-9 ST', 'FG')",133936,33484.0,3129,3277,5220,5345,5334,5337,5357,40.673714,-73.996139
"('168 ST-BROADWAY', '1AC')",281599,70399.75,4560,4357,12008,12939,12933,13068,9849,40.840778,-73.940091
"('KINGSTON AVE', '3')",126062,31515.5,2214,3101,4979,5043,5253,5134,5525,40.669409,-73.942173
"('81 ST-MUSEUM', 'BC')",392800,98200.0,8771,9372,14725,16173,14935,16688,16248,40.781435,-73.972149
"('23 ST', 'CE')",645024,161256.0,12402,13035,23339,26361,27519,27442,27986,40.745924,-73.998005
"('BEEBE-39 AVE', 'NQ')",88091,22022.75,1992,1833,3414,3596,3592,3697,3653,40.753076,-73.93271
"('FOREST HILLS-71', 'EFMR')",709909,177477.25,14111,13399,29226,29348,30425,29765,29156,40.721681,-73.84439
"('MOSHOLU PARKWAY', '4')",223798,55949.5,5281,4531,9052,9196,9658,9333,8481,40.87963,-73.884666
"('NEW LOTS AVE', '3')",180649,45162.25,2990,2779,7488,7718,7965,7777,7946,40.666252,-73.884087
"('59 ST', '456NQR')",1290127,322531.75,24764,25179,47641,53730,55431,56010,54396,40.762796,-73.967686
"('BEACH 90 ST', 'AS')",30772,7693.0,1022,1066,1138,946,1223,1135,1124,40.588032,-73.813684
"('LIVONIA AVE', 'L')",82656,20664.0,1907,1589,3351,3314,3499,3329,3473,40.663801,-73.900444
"('233 ST', '25')",143068,35767.0,3539,3009,5775,5398,6076,5722,5968,40.893386,-73.857265
"('103 ST', '1')",328875,82218.75,8570,8461,13277,13661,14023,13763,13540,40.799354,-73.968329
"('CHURCH AVE', 'BQ')",457244,114311.0,11282,10513,17762,17958,18619,18200,18813,40.650494,-73.962836
"('NEWARK HW BMEBE', '1')",108317,27079.25,1145,607,5185,5058,5193,5168,4719,,
"('WHITEHALL ST', 'R1')",386217,96554.25,8612,7869,15309,15627,16522,16045,15819,40.703082,-74.012983
"('238 ST', '1')",100516,25129.0,2277,2139,4282,4257,4395,4460,4398,40.884821,-73.900759
"('TWENTY THIRD ST', '1')",205479,51369.75,2879,2412,8947,9663,8814,9119,8965,40.742933,-73.992909
"('CHAMBERS ST', '123')",529927,132481.75,7861,8168,21373,23170,24202,23651,22134,40.715436,-74.009335
"('161 ST-YANKEE', 'BD4')",429201,107300.25,8054,14946,13317,14951,20318,15601,15411,40.827888,-73.925736
"('96 ST', '6')",724969,181242.25,13157,11863,29699,31433,31877,31076,30539,40.785822,-73.95097
"('CROWN HTS-UTICA', '34')",722954,180738.5,18184,16265,28739,28389,29436,28724,29179,40.669279,-73.932967
"('BURKE AVE', '25')",92023,23005.75,2232,1899,3612,3718,3814,3710,3849,40.871387,-73.867135
"('FRESH POND ROAD', 'M')",139967,34991.75,2062,1804,6000,6158,6332,6239,6216,40.706181,-73.89591
"('CITY / BUS', '1')",370202,92550.5,7421,6513,14789,15511,16047,16118,15572,,
"('57 ST', 'F')",367859,91964.75,4857,5159,14339,16418,16697,17104,16129,40.763625,-73.977449
"('QUEENSBORO PLZ', '7NQ')",297013,74253.25,7089,6348,11375,12058,12307,11972,12351,40.750508,-73.940177
"('AVE U', 'F')",55243,13810.75,1255,1135,2256,2263,2305,2304,2208,40.596065,-73.973329
"('LEXINGTON AVE', 'F')",278970,69742.5,3143,3068,10937,12776,13260,13394,12154,40.764763,-73.966291
"('65 ST', 'MR')",94964,23741.0,2266,1944,3847,3858,3866,3896,3948,40.749663,-73.898485
"('HALSEY ST', 'L')",202654,50663.5,5036,4775,7838,8016,8196,8074,8169,40.695607,-73.904021
"('215 ST', '1')",47749,11937.25,960,1050,2047,2122,2149,2058,2063,40.869359,-73.915329
"('EUCLID AVE', 'AC')",242626,60656.5,5575,4996,9690,9741,10083,9799,10147,40.675382,-73.87207
"('AVE H', 'BQ')",66441,16610.25,1283,1177,2724,2810,2902,2829,2751,40.629164,-73.961678
"('RALPH AVE', 'C')",148706,37176.5,3779,3416,5755,5842,5995,5892,6148,40.678815,-73.920801
"('LEXINGTON-53 ST', 'EM6')",1066521,266630.25,13721,13466,42480,48356,47873,49014,47339,40.75753,-73.969102
"('68ST-HUNTER COL', '6')",793565,198391.25,12339,12329,32535,35925,36100,36208,30479,40.768143,-73.964016
"('PELHAM PARKWAY', '25')",253628,63407.0,6636,5531,9796,9891,10594,10070,10340,40.857188,-73.867607
"('FOREST AVE', 'M')",100047,25011.75,1474,1224,4335,4450,4546,4418,4446,40.704424,-73.903077
"('VERNON/JACKSON', '7')",372982,93245.5,7735,7658,14549,15060,15879,15743,15422,40.742624,-73.953545
"('86 ST', '1')",510694,127673.5,10844,11852,19480,20734,20930,21481,20615,40.788844,-73.97599
"('23 ST', '1')",392059,98014.75,8113,8219,14527,15797,16689,16720,16337,40.744071,-73.995624
"('40 ST-LOWERY ST', '7')",272396,68099.0,5688,5090,10972,11281,11547,11200,11599,40.743778,-73.923998
"('WALL ST', '23')",630216,157554.0,6428,6116,26794,29786,29852,29661,27296,40.706864,-74.009056
"('PATH WTC', '1')",1124089,281022.25,12218,12795,49644,51124,53962,52008,46374,40.711638,-74.010708
"('EAST BROADWAY', 'F')",360754,90188.5,7921,7962,14098,14668,14931,14556,14866,40.713647,-73.990152
"('GUN HILL ROAD', '25')",199419,49854.75,5060,4396,7901,7782,8157,7886,8171,40.877796,-73.866255
"('BAY PKY-22 AVE', 'N')",189740,47435.0,4826,4270,7399,7591,7825,7579,7743,40.612006,-73.982009
"('BOYD-88 ST', 'A')",128751,32187.75,1477,1255,5569,5841,6047,5961,5859,40.679857,-73.851492
"('VAN SICLEN AVE', 'C')",83335,20833.75,2050,1811,3289,3305,3409,3321,3486,40.672786,-73.890438
"('4 AVE', 'DFGMNR')",105251,26312.75,2536,2565,3944,4193,4229,4227,4192,40.67032,-73.988757
"('TREMONT AVE', 'BD')",247498,61874.5,5927,4953,9782,9978,10330,10161,10329,40.850307,-73.905244
"('BEACH 60 ST', 'A')",65603,16400.75,1608,1468,2592,2590,2690,2589,2708,40.592334,-73.788493
"('103 ST-CORONA', '7')",504593,126148.25,12860,10805,19804,20041,20469,20346,20757,40.749858,-73.862672
"('90 ST-ELMHURST', '7')",426465,106616.25,11066,9453,16650,16894,17118,17131,17386,40.748541,-73.876791
"('SPRING ST', 'CE')",308135,77033.75,4703,4738,11903,13537,13741,13706,13490,40.726202,-74.003627
"('149 ST-GR CONC', '245')",325590,81397.5,6692,6213,13079,13371,14124,13529,13291,40.818429,-73.926927
"('BEACH 98 ST', 'AS')",19316,4829.0,641,661,746,568,802,681,708,40.585514,-73.820143
"('FULTON ST', '2345ACJZ')",995415,248853.75,15592,13399,41985,43909,44975,44619,42852,40.709938,-74.007983
"('GREENWOOD-111', 'A')",61793,15448.25,556,591,2809,2923,2996,2886,2790,40.684364,-73.832181
"('E TREMONT AVE', '25')",210853,52713.25,5320,4771,7980,8038,9532,8133,8475,40.840097,-73.879774
"('FULTON ST', 'G')",130903,32725.75,3160,3519,4999,4777,5258,4804,5510,40.68713,-73.975346
"('W 8 ST-AQUARIUM', 'FQ')",75867,18966.75,2799,2262,2833,2472,2808,2737,2837,40.576152,-73.975925
"('BRONX PARK EAST', '25')",72241,18060.25,1665,1439,2918,2901,3076,2922,3009,40.848797,-73.868465
"('SARATOGA AVE', '3')",217251,54312.75,3618,3232,9062,9254,9633,9342,9609,40.661466,-73.916316
"('242 ST', '1')",168979,42244.75,2939,2967,6936,7179,7511,7220,7076,40.889185,-73.898549
"('8 AVE', 'N')",306358,76589.5,7985,8241,12013,12111,12388,11604,11729,40.635011,-74.011717
"('6 AVE', 'FLM123')",152990,38247.5,3693,4004,5315,5868,5980,6153,6300,40.737348,-73.9969
"('THIRTY THIRD ST', '1')",574181,143545.25,10546,12613,22800,23725,24749,24935,21758,40.748931,-73.988113
"('BAY 50 ST', 'D')",70454,17613.5,1425,1156,2913,3033,2953,2999,3043,40.588879,-73.983629
"('BOROUGH HALL/CT', '2345R')",853589,213397.25,12468,13466,35189,37559,38126,38170,35847,40.692404,-73.990151
"('96 ST', 'BC')",252666,63166.5,4061,4073,10094,10873,11402,11062,10877,40.791654,-73.964682
"('9 ST', 'DFGMNR')",238527,59631.75,5420,5432,9070,9674,9795,9786,9612,40.67032,-73.988757
"('181 ST', '1')",287315,71828.75,7333,7325,11713,11926,12253,11862,11863,40.849495,-73.933632
"('RIT-ROOSEVELT', 'R')",116841,29210.25,4862,4781,3590,3641,3999,3976,4095,40.7574,-73.954006
"('BUSHWICK AVE', 'L')",50246,12561.5,1366,1355,1858,1908,1981,1941,1974,40.682558,-73.905501
"('LONGWOOD AVE', '6')",88058,22014.5,1988,1653,3454,3550,3771,3660,3765,40.816083,-73.89606
"('CLINTON-WASH AV', 'C')",157649,39412.25,3356,3323,6221,6456,6528,6569,6518,40.683263,-73.965838
"('FLATBUSH AVE', '25')",474446,118611.5,9169,8007,19850,20068,20766,20251,19733,40.632836,-73.947642
"('CHURCH AVE', '25')",246742,61685.5,5621,4752,10019,10082,10271,10097,10374,40.650843,-73.949575
"('AQUEDUCT TRACK', 'A')",52721,13180.25,1822,2277,1563,1412,1851,1947,1924,40.668221,-73.834026
"('STERLING ST', '25')",145362,36340.5,3225,3012,5770,5910,6059,5959,6077,40.662752,-73.950605
"('LORIMER ST', 'JM')",127427,31856.75,2585,2775,5074,5175,5291,5224,5470,40.703855,-73.947387
"('46 ST', 'MR')",234572,58643.0,5400,4683,9248,9640,9846,9609,9810,40.756312,-73.913333
"('176 ST', '4')",157434,39358.5,3893,3443,6261,6239,6453,6234,6410,40.848635,-73.912497
"('9TH STREET', '1')",124801,31200.25,2676,3825,4242,4397,5258,5215,4701,,
"('AVE U', 'N')",104011,26002.75,2660,2311,4118,4087,4254,4181,4274,40.597482,-73.979359
"('36 ST', 'DNR')",332435,83108.75,8660,7643,13031,13015,13659,13163,13286,40.65515,-74.003477
"('FREEMAN ST', '25')",123024,30756.0,3012,2655,4921,4913,5063,4841,5054,40.829966,-73.891876
"('NEWARK C', '1')",116820,29205.0,608,248,5722,6043,6111,5725,4745,,
"('BLEECKER ST', '6DF')",384084,96021.0,7713,8401,13484,15372,15854,16485,16430,40.725665,-73.995645
"('BERGEN ST', 'FG')",299087,74771.75,6806,6944,11544,12043,12291,12147,12050,40.686154,-73.990881
"('BROOKLYN BRIDGE', '456JZ')",491158,122789.5,6985,7066,20031,21591,22717,22435,20470,40.713159,-74.003917
"('DEKALB AVE', 'L')",315579,78894.75,8477,8038,11985,12188,12435,12338,12523,40.703839,-73.91844
"('77 ST', 'R')",137017,34254.25,2967,2569,5484,5761,5859,5822,5535,40.629702,-74.025514
"('86 ST', 'N')",67918,16979.5,1684,1469,2689,2721,2796,2711,2793,40.592676,-73.978243
"('183 ST', '4')",162512,40628.0,4095,3806,6324,6356,6534,6496,6576,40.858389,-73.903828
"('72 ST', '123')",1073975,268493.75,25514,27802,39820,41814,43575,43501,42617,40.778575,-73.981912
"('FAR ROCKAWAY', 'A')",126845,31711.25,2866,2736,5046,4999,5293,5142,5271,40.603983,-73.755383
"('ROCKAWAY PK 116', 'AS')",24503,6125.75,693,738,930,786,1053,976,911,40.580454,-73.837459
"('59 ST', 'NR')",327120,81780.0,8082,7153,12864,13215,13508,12969,13303,40.641426,-74.017972
"('AVE P', 'F')",71614,17903.5,1554,1569,2906,2955,3002,2905,2887,40.609147,-73.972986
"('UNION ST', 'R')",165356,41339.0,3078,3453,6388,6983,7016,6989,6772,40.677302,-73.983135
"('INTERVALE-163', '25')",85449,21362.25,1910,1691,3513,3578,3578,3423,3492,40.822172,-73.896747
"('CORTLANDT ST', 'R')",233314,58328.5,5662,5091,8892,9331,9485,9709,9654,40.710662,-74.011052
"('42 ST-PA BUS TE', 'ACENQRS1237')",2071952,517988.0,43400,48760,83903,83158,82582,84116,82989,40.757303,-73.989787
