2 AVE	110996
BRIGHTON BEACH	80578
4 AVE	25239
WILSON AVE	28638
JACKSON AVE	32280
63 DR-REGO PARK	103819
HUNTERS PT AVE	37426
5 AVE-59 ST	126183
BEDFORD/NOSTRAN	51385
BEACH 98 ST	4904
COURT SQ	79701
3 AVE	43957
PAVONIA/NEWPORT	115009
215 ST	12019
WINTHROP ST	43708
167 ST	124338
BROOK AVE	37934
AVE N	20698
AVE M	31874
225 ST	27726
AVE J	34408
AVE I	13077
AVE H	16207
METROPOLITAN AV	89089
LEFFERTS BLVD	39561
AVE X	18054
AVE U	83530
AVE P	17239
5 AVE-BRYANT PK	74225
E 180 ST	52336
125 ST	484018
168 ST-BROADWAY	153903
ROCKAWAY BLVD	8714
CLARK ST	39426
FRANKLIN AVE	102336
RIT-ROOSEVELT	28186
BAYCHESTER AVE	19209
E TREMONT AVE	50433
STILLWELL AVE	152183
BAY 50 ST	16753
BEACH 90 ST	8063
MARCY AVE	85607
65 ST	24061
SIMPSON ST	58691
SUTTER AVE	76316
FORDHAM ROAD	148668
242 ST	43488
WHITLOCK AVE	10946
JEFFERSON ST	49128
BURNSIDE AVE	65211
BAY RIDGE AVE	48770
THIRTY ST	61850
VAN WYCK BLVD	28329
BAY PKY-22 AVE	48428
LEXINGTON-53 ST	256644
EXCHANGE PLACE	89679
BOTANIC GARDEN	9279
103 ST	161468
138 ST-GR CONC	21280
9 AVE	32391
111 ST	84708
BEDFORD PARK BL	77363
SUTPHIN BLVD	183737
67 AVE	54996
CANAL ST	461652
LONGWOOD AVE	21454
WOODLAWN ROAD	47718
110 ST	89757
CLASSON AVE	31230
ESSEX ST	58649
ROCKAWAY PKY	79519
34 ST-HERALD SQ	750931
GRANT AVE	41370
77 ST	251337
23 ST	397964
36 ST	111796
18 AVE	100154
14 ST-UNION SQ	684973
GREENPOINT AVE	55931
42 ST-PA BUS TE	591596
SPRING ST	151421
UTICA AVE	99268
QUEENSBORO PLZ	70542
161 ST-YANKEE	198271
219 ST	22247
LIVONIA AVE	19207
20 AVE	54414
JUNCTION BLVD	138535
TOMPKINSVILLE	4540
96 ST	483995
SMITH-9 ST	31704
PRINCE ST-B'WAY	106057
42 ST-TIMES SQ	644749
E 143 ST	5657
59 ST-COLUMBUS	434649
HOYT ST-ASTORIA	78653
HOYT/SCHERMER	60622
BEACH 44 ST	3996
CYPRESS AVE	23822
21 ST	53635
1 AVE	150372
HUDSON-80 ST	41616
46 ST-BLISS ST	86728
163 ST-AMSTERDM	27477
110 ST-CPN	63142
JOURNAL SQUARE	125626
GRAND AV-NEWTON	110134
9 ST	56790
PARSONS BLVD	39453
BROADWAY-ENY	59121
WALL ST	291263
23 ST-5 AVE	153927
28 ST	230486
45 ST	43991
66 ST-LINCOLN	146681
BEEBE-39 AVE	20611
MAIN ST	371047
SOUTH FERRY	79166
BEACH 25 ST	11112
14 ST-6 AVE	109569
86 ST	679809
GRAHAM AVE	63678
BEVERLY ROAD	27238
FT HAMILTON PKY	104296
DELANCEY ST	96714
PROSPECT PARK	65126
33 ST/RAWSON ST	64760
121 ST	15399
CHRISTOPHER ST	97195
EAST BROADWAY	89093
138 ST-3 AVE	48208
CHAMBERS ST	413295
CENTRAL AVE	20797
NORWOOD-205 ST	52133
MIDDLETOWN ROAD	12052
18 ST	51801
BROOKLYN BRIDGE	119805
33 ST	190214
68ST-HUNTER COL	189982
174-175 ST	33158
MYRTLE-WILLOUGH	36275
ZEREGA AVE	13774
RIT-MANHATTAN	32317
DYRE AVE	24272
AQUEDUCT TRACK	12596
JAY ST-METROTEC	232627
NORTHERN BLVD	45239
EAST 105 ST	23505
183 ST	39548
LEXINGTON AVE	173436
46 ST	57783
CASTLE HILL AVE	40653
BUSHWICK AVE	12170
PARKSIDE AVE	34383
BAY RIDGE-95 ST	36717
THIRTY THIRD ST	143521
BEACH 36 ST	5917
GATES AVE	40348
WAKEFIELD-241	34009
HOUSTON ST	85168
CHURCH AVE	235122
FOREST AVE	25385
ST LAWRENCE AVE	26250
MORRIS PARK	11636
